index,partition,label,letter
0,train,0,A
1,train,0,A
0,val,0,A
2,train,0,A
3,train,0,A
4,train,0,A
5,train,0,A
6,train,0,A
7,train,0,A
8,train,0,A
9,train,0,A
10,train,0,A
11,train,0,A
12,train,0,A
1,val,0,A
13,train,0,A
14,train,0,A
2,val,0,A
15,train,0,A
16,train,0,A
17,train,0,A
3,val,0,A
4,val,0,A
18,train,0,A
5,val,0,A
19,train,0,A
20,train,0,A
21,train,0,A
22,train,0,A
23,train,0,A
24,train,0,A
25,train,0,A
6,val,0,A
26,train,0,A
27,train,0,A
28,train,0,A
29,train,0,A
7,val,0,A
8,val,0,A
9,val,0,A
10,val,0,A
30,train,0,A
31,train,0,A
32,train,0,A
33,train,0,A
34,train,0,A
35,train,0,A
36,train,0,A
37,train,0,A
38,train,0,A
39,train,0,A
11,val,0,A
40,train,0,A
41,train,0,A
42,train,0,A
43,train,0,A
44,train,0,A
45,train,0,A
46,train,0,A
47,train,0,A
48,train,0,A
12,val,0,A
49,train,0,A
13,val,0,A
50,train,0,A
51,train,0,A
52,train,0,A
53,train,0,A
14,val,0,A
54,train,0,A
55,train,0,A
56,train,0,A
57,train,0,A
15,val,0,A
58,train,0,A
16,val,0,A
17,val,0,A
18,val,0,A
59,train,0,A
60,train,0,A
19,val,0,A
61,train,0,A
62,train,0,A
20,val,0,A
63,train,0,A
64,train,0,A
65,train,0,A
66,train,0,A
67,train,0,A
68,train,0,A
21,val,0,A
22,val,0,A
69,train,0,A
23,val,0,A
24,val,0,A
70,train,0,A
71,train,0,A
72,train,0,A
25,val,0,A
73,train,0,A
74,train,0,A
75,train,0,A
76,train,0,A
26,val,0,A
77,train,0,A
78,train,0,A
27,val,0,A
79,train,0,A
80,train,0,A
81,train,0,A
82,train,0,A
83,train,0,A
84,train,0,A
85,train,0,A
86,train,0,A
87,train,0,A
28,val,0,A
88,train,0,A
89,train,0,A
90,train,0,A
91,train,0,A
92,train,0,A
93,train,0,A
94,train,0,A
29,val,0,A
95,train,0,A
96,train,0,A
97,train,0,A
98,train,0,A
99,train,0,A
100,train,0,A
101,train,0,A
30,val,0,A
102,train,0,A
103,train,0,A
104,train,0,A
105,train,0,A
106,train,0,A
107,train,0,A
108,train,0,A
109,train,0,A
31,val,0,A
110,train,0,A
111,train,0,A
32,val,0,A
33,val,0,A
112,train,0,A
113,train,0,A
114,train,0,A
115,train,0,A
116,train,0,A
117,train,0,A
118,train,0,A
34,val,0,A
119,train,0,A
35,val,0,A
120,train,0,A
121,train,0,A
122,train,0,A
123,train,0,A
124,train,0,A
125,train,0,A
126,train,0,A
127,train,0,A
128,train,0,A
36,val,0,A
129,train,0,A
130,train,0,A
131,train,0,A
132,train,0,A
133,train,0,A
134,train,0,A
135,train,0,A
37,val,0,A
136,train,0,A
137,train,0,A
138,train,0,A
38,val,0,A
139,train,0,A
140,train,0,A
141,train,0,A
142,train,0,A
39,val,0,A
40,val,0,A
143,train,0,A
144,train,0,A
145,train,0,A
146,train,0,A
147,train,0,A
148,train,0,A
149,train,0,A
150,train,0,A
151,train,0,A
152,train,0,A
153,train,0,A
41,val,0,A
154,train,0,A
42,val,0,A
155,train,0,A
43,val,0,A
44,val,0,A
45,val,0,A
156,train,0,A
157,train,0,A
158,train,0,A
159,train,0,A
160,train,0,A
161,train,0,A
162,train,0,A
163,train,0,A
164,train,0,A
165,train,0,A
166,train,0,A
167,train,0,A
168,train,0,A
169,train,0,A
170,train,0,A
171,train,0,A
46,val,0,A
172,train,0,A
173,train,0,A
47,val,0,A
48,val,0,A
174,train,0,A
175,train,0,A
176,train,0,A
177,train,0,A
49,val,0,A
178,train,0,A
179,train,0,A
180,train,0,A
181,train,0,A
182,train,0,A
183,train,0,A
184,train,0,A
185,train,0,A
50,val,0,A
51,val,0,A
186,train,0,A
187,train,0,A
52,val,0,A
188,train,0,A
189,train,0,A
190,train,0,A
53,val,0,A
54,val,0,A
191,train,0,A
192,train,0,A
193,train,0,A
55,val,0,A
194,train,0,A
56,val,0,A
195,train,0,A
57,val,0,A
196,train,0,A
197,train,0,A
198,train,0,A
199,train,0,A
200,train,0,A
201,train,0,A
202,train,0,A
203,train,0,A
58,val,0,A
204,train,0,A
59,val,0,A
205,train,0,A
206,train,0,A
207,train,0,A
208,train,0,A
60,val,0,A
209,train,0,A
210,train,0,A
211,train,0,A
212,train,0,A
61,val,0,A
213,train,0,A
214,train,0,A
215,train,0,A
216,train,0,A
217,train,0,A
62,val,0,A
218,train,0,A
219,train,0,A
220,train,0,A
63,val,0,A
64,val,0,A
221,train,0,A
222,train,0,A
223,train,0,A
65,val,0,A
224,train,0,A
225,train,0,A
226,train,0,A
227,train,0,A
228,train,0,A
66,val,0,A
67,val,0,A
229,train,0,A
230,train,0,A
231,train,0,A
232,train,0,A
233,train,0,A
234,train,0,A
235,train,0,A
236,train,1,B
237,train,1,B
238,train,1,B
68,val,1,B
239,train,1,B
69,val,1,B
70,val,1,B
240,train,1,B
241,train,1,B
242,train,1,B
243,train,1,B
244,train,1,B
245,train,1,B
246,train,1,B
247,train,1,B
248,train,1,B
249,train,1,B
71,val,1,B
250,train,1,B
251,train,1,B
252,train,1,B
72,val,1,B
253,train,1,B
73,val,1,B
254,train,1,B
255,train,1,B
256,train,1,B
257,train,1,B
74,val,1,B
258,train,1,B
75,val,1,B
259,train,1,B
260,train,1,B
76,val,1,B
261,train,1,B
262,train,1,B
263,train,1,B
77,val,1,B
264,train,1,B
265,train,1,B
266,train,1,B
267,train,1,B
78,val,1,B
268,train,1,B
79,val,1,B
269,train,1,B
270,train,1,B
271,train,1,B
272,train,1,B
273,train,1,B
274,train,1,B
275,train,1,B
276,train,1,B
277,train,1,B
278,train,1,B
80,val,1,B
279,train,1,B
280,train,1,B
281,train,1,B
282,train,1,B
283,train,1,B
284,train,1,B
285,train,1,B
286,train,1,B
287,train,1,B
288,train,1,B
289,train,1,B
290,train,1,B
291,train,1,B
292,train,1,B
293,train,1,B
81,val,1,B
294,train,1,B
295,train,1,B
296,train,1,B
82,val,1,B
83,val,1,B
84,val,1,B
85,val,1,B
297,train,1,B
298,train,1,B
86,val,1,B
299,train,1,B
87,val,1,B
300,train,1,B
301,train,1,B
302,train,1,B
303,train,1,B
304,train,1,B
305,train,1,B
306,train,1,B
307,train,1,B
308,train,1,B
309,train,1,B
88,val,1,B
310,train,1,B
311,train,1,B
312,train,1,B
89,val,1,B
90,val,1,B
313,train,1,B
314,train,1,B
315,train,1,B
91,val,1,B
316,train,1,B
317,train,1,B
318,train,1,B
319,train,1,B
320,train,1,B
321,train,1,B
322,train,1,B
323,train,1,B
324,train,1,B
92,val,1,B
325,train,1,B
326,train,1,B
327,train,1,B
328,train,1,B
329,train,1,B
330,train,1,B
93,val,1,B
331,train,1,B
94,val,1,B
95,val,1,B
332,train,1,B
333,train,1,B
